brand,perfume,type,category,target_audience,longevity
zimaya,tiramisu coco,edp,Gourmand Dessert,Unisex,Medium
zimaya,tiramisu caramel,edp,Gourmand Dessert,Unisex,Medium
zimaya,mazaaj infused,edp,Woody Floral,Unisex,Medium
zimaya,rabab,edp,Fruity Floral,Female,Medium
paris corner,Atoof,edp,Woody Oriental,Unisex,Strong
paris corner,Autobiography - Citron Vanille,edp,Citrus Gourmand,Unisex,Medium
paris corner,Autobiography - Salty Breeze,edp,Fresh Aquatic,Male,Medium
paris corner,Citron Vanille,edp,Citrus Sweet,Female,Medium
paris corner,Cosmopolitan Dubai,edp,Oriental Spicy,Unisex,Strong
paris corner,Choco Cult,edp,Gourmand Chocolate,Unisex,Strong
paris corner,Date Caramel,edp,Sweet Gourmand,Unisex,Strong
paris corner,December Vanilla,edp,Vanilla Gourmand,Unisex,Medium
paris corner,Emir - A Chaos In The Ocean,edp,Fresh Aquatic,Unisex,Medium
paris corner,Emir - A Walk on Dirt,edp,Woody Earthy,Unisex,Medium
paris corner,Emir - Camp Fire,edp,Smoky Leather,Unisex,Strong
paris corner,Emir - Celestial,edp,Amber Woody,Unisex,Strong
paris corner,Emir - Cherry Cola,edp,Fruity Sweet,Gourmand,Medium
paris corner,Emir - Fascination,edp,Oriental Spicy,Unisex,Strong
paris corner,Emir - Fire Your Desire,edp,Spicy Amber,Unisex,Strong
paris corner,Emir - Frenetic Delicious,edp,Sweet Fruity,Unisex,Medium
paris corner,Emir - Frenetic Homme Intense,edp,Woody Spicy,Male,Strong
paris corner,Emir - Frenetic Men,edp,Fresh Spicy,Male,Medium
paris corner,Emir - Frenetic Tobacco Honey,edp,Sweet Tobacco,Unisex,Strong
paris corner,Emir - Juicy Melange,edp,Fruity Citrus,Unisex,Medium
paris corner,Emir - Just Bergamot,edp,Citrus Fresh,Unisex,Medium
paris corner,Emir - Mango Punch,edp,Fruity Tropical,Unisex,Medium
paris corner,Emir - Pear Potion,edp,Fruity Sweet,Unisex,Medium
paris corner,Emir - Resurrection,edp,Woody Oriental,Unisex,Strong
paris corner,Emir - Rich Santal,edp,Woody Creamy,Unisex,Strong
paris corner,Emir - Smoky Leather,edp,Leather Smoky,Unisex,Strong
paris corner,Emir - Trillium,edp,Woody Floral,Unisex,Medium
paris corner,Emir - Triumphant Sapphire,edp,Woody Spicy,Unisex,Strong
paris corner,Emir - Ultra Citrus,edp,Citrus Fresh,Unisex,Medium
paris corner,Emir - Vertex,edp,Woody Spicy,Male,Strong
paris corner,Emir - Vibrant Delight,edp,Sweet Fruity,Unisex,Medium
paris corner,Emir - Vibrant Orange & Neroli,edp,Citrus Floral,Unisex,Medium
paris corner,Emir - Cedrat Essence,edp,Citrus Fresh,Unisex,Medium
paris corner,Eternal Musk,edp,Musky Floral,Unisex,Medium
paris corner,Identity - Oud Crescent,edp,Oud Oriental,Unisex,Strong
paris corner,Identity - Rose & Leather,edp,Floral Leather,Unisex,Strong
paris corner,Kaheela Lux,edp,Amber Spicy,Female,Strong
paris corner,Khair,edp,Sweet Floral,Female,Medium
paris corner,Khair Confection,edp,Sweet Gourmand,Female,Medium
paris corner,Khair Felicity,edp,Floral Sweet,Female,Medium
paris corner,Khair Fusion,edp,Floral Fruity,Female,Medium
paris corner,Khair Pistachio,edp,Gourmand Nutty,Unisex,Medium
paris corner,Killer Oud - Death By Oud,edp,Oud Smoky,Unisex,Strong
paris corner,Killer Oud - Midnight Ecstasy,edp,Amber Oud,Unisex,Strong
paris corner,Marshmallow Blush,edp,Sweet Gourmand,Female,Medium
paris corner,Mawj Moscow Mule,edp,Citrus Fresh,Unisex,Medium
paris corner,Ministry of Gourmand - Banana Bliss,edp,Fruity Gourmand,Unisex,Medium
paris corner,Ministry of Gourmand - Tiramisu Specoloo,edp,Dessert Gourmand,Unisex,Medium
paris corner,Ministry Series - Amber Oud,edp,Amber Oud,Unisex,Strong
paris corner,Ministry Series - Oud Royal,edp,Oud Spicy,Unisex,Strong
paris corner,Ministry Series - Oud Satin,edp,Oud Sweet,Unisex,Strong
paris corner,Ministry Series - Oud Indonesian,edp,Oud Woody,Unisex,Strong
paris corner,North Stag - Neuf IX (9),edp,Woody Spicy,Male,Strong
paris corner,North Stag - Sept VII (7),edp,Woody Aromatic,Male,Medium
paris corner,North Stag - Huit VIII (8),edp,Woody Oriental,Male,Strong
paris corner,North Stag - Phenomenal Quatorze XIV (14),edp,Oriental Spicy,Male,Strong
paris corner,North Stag Expressions - I (Une/1),edp,Woody Fresh,Unisex,Medium
paris corner,North Stag Expressions - II (Deux/2),edp,Woody Oriental,Unisex,Strong
paris corner,North Stag Expressions - III (Trois/3),edp,Oriental Spicy,Unisex,Strong
paris corner,North Stag Expressions - IV (Quatre/4),edp,Amber Woody,Unisex,Strong
paris corner,Prive Zarah - Barcode Signature,edp,Woody Aromatic,Male,Medium
paris corner,Prive Zarah - Blend Afgano,edp,Oud Oriental,Unisex,Strong
paris corner,Prive Zarah - Bois Dores,edp,Woody Amber,Unisex,Strong
paris corner,Prive Zarah - Why,edp,Fresh Spicy,Male,Medium
paris corner,Qissa (Pink),edp,Fruity Floral,Female,Medium
paris corner,Qissa Delicious,edp,Sweet Fruity,Female,Medium
paris corner,Rifaqat,edp,Amber Spicy,Unisex,Strong
paris corner,Rifaqat Adorn,edp,Floral Oriental,Female,Medium
paris corner,Salty Breeze,edp,Fresh Aquatic,Unisex,Medium
paris corner,Soothing Zephyr,edp,Fresh Aromatic,Unisex,Medium
paris corner,Taskeen Caramel,edp,Sweet Gourmand,Unisex,Medium
paris corner,Taskeen Marina,edp,Fresh Aquatic,Unisex,Medium
paris corner,Voux - Blue Oud,edp,Oud Woody,Unisex,Strong
paris corner,Voux - Elegante,edp,Floral Oriental,Female,Medium
paris corner,Voux - Voilette,edp,Floral Powdery,Female,Medium
paris corner,Voux - Zeste,edp,Citrus Fresh,Unisex,Medium
paris corner,Voux - Zingy,edp,Fruity Citrus,Unisex,Medium
Afnan,9 AM Dive,EDP,Fresh Scent,Unisex,Medium
Afnan,9 AM Pour Femme,EDP,Fresh Scent,Female,Medium
Afnan,9 AM Pour Homme,EDP,Fresh Scent,Male,Medium
Afnan,9 PM,EDP,Mass Pleaser,Unisex,Medium
Afnan,9 PM Rebel,EDP,Woody Fruity,Male,Strong
Afnan,Cherry Bouquet,EDP,Fruity Gourmand,Female,Medium
Afnan,Abstract Portrait,EDP,Oriental Fougere,Unisex,Strong
Afnan,Fatima Pink,Extrait de Parfum,Floral Fruity,Female,Medium
Afnan,Fatima Velvet Love,EDP,Floral Gourmand,Female,Medium
Afnan,Historic Olmeda,EDP,Aromatic Spicy,Unisex,Medium
Afnan,Historic Sahara,EDP,Oriental Vanilla,Unisex,Strong
Afnan,Modest Deux,EDP,Fresh Scent,Female,Medium
Afnan,Modest Une,EDP,Fresh Scent,Female,Medium
Afnan,Mystique Bouquet,EDP,Fruity Floral,Female,Medium
Afnan,Penthouse Ginza,EDP,Woody Spicy,Male,Medium
Afnan,Pride Intense,EDP,Woody Spicy,Male,Medium
Afnan,Rare Carbon,EDP,Woody Spicy,Male,Medium
Afnan,Rare Reef,EDP,Woody Spicy,Male,Medium
Afnan,Rare Tiffany,EDP,Woody Spicy,Male,Medium
Afnan,Supremacy Collector's Edition,EDP,Woody Spicy,Male,Strong
Afnan,Supremacy Silver,EDP,Woody Spicy,Male,Medium
Afnan,Supremacy In Heaven,EDP,Woody Spicy,Male,Medium
Afnan,Supremacy in Oud,EDP,Woody Spicy,Male,Strong
Afnan,Supremacy Not Only Intense,EDP,Woody Spicy,Male,Strong
Afnan,Theoreme,EDP,Woody Spicy,Unisex,Medium
Afnan,Theoreme Matrix,EDP,Woody Spicy,Unisex,Medium
Afnan,Theoreme Pour Femme,EDP,Woody Spicy,Female,Medium
Afnan,Turathi Blue,EDP,Woody Spicy,Male,Medium
Afnan,Turathi Brown,EDP,Woody Spicy,Male,Medium
Afnan,Turathi Electric,EDP,Woody Spicy,Male,Medium
xerjoff,Accento,edp,Chypre Floral Fruity,Unisex,Strong
xerjoff,Mefisto Gentiluomo,edp,Woody Aromatic,Unisex,Medium
xerjoff,Erba Pura,edp,Fruity Musk,Unisex,Strong
xerjoff,More Than Words,edp,Floral Oriental,Female,Medium
xerjoff,Naxos,edp,Oriental Fougere Gourmand,Unisex,Strong
xerjoff,Starlight,edp,Gourmand Spicy,Unisex,Medium
xerjoff,Wardasina,edp,Woody Floral,Unisex,Medium
xerjoff,Zaffiro,edp,Citrus Floral,Unisex,Medium
xerjoff,Uden,edp,Woody Oriental,Unisex,Strong
xerjoff,Richwood,edp,Woody Spicy,Unisex,Strong
xerjoff,1861 Naxos,edp,Oriental Spicy,Unisex,Strong
xerjoff,Alexandria II,edp,Amber Oriental,Unisex,Strong
xerjoff,Lira,edp,Floral Fruity,Female,Medium
xerjoff,Join the Club,edp,Citrus Woody,Unisex,Medium
xerjoff,Gloria,edp,Floral Fruity,Female,Medium
xerjoff,Vol De Nuit,edp,Oriental Spicy,Unisex,Strong
xerjoff,Nio,edp,Fruity Citrus,Unisex,Medium
xerjoff,Romeo,edp,Woody Spicy,Male,Strong
Paco Rabanne,Phantom,Parfum,Woody Aromatic,Unisex,Strong
Paco Rabanne,Fame,Parfum,Floriental,Female,Strong
Paco Rabanne,Invictus Victory Elixir,Parfum,Amber Spicy,Male,Strong
Paco Rabanne,Invictus Legend,Parfum,Woody Spicy,Male,Strong
Paco Rabanne,Invictus Platinum,Parfum,Aromatic Fougere,Male,Strong
Paco Rabanne,Lady Million,Parfum,Floriental,Female,Medium
Paco Rabanne,1 Million Eau de Toilette,EDT,Woody Spicy,Male,Medium
Paco Rabanne,1 Million Fabulous,Parfum,Amber Spicy,Male,Medium
Paco Rabanne,1 Million Lucky,Parfum,Woody Fruity,Male,Strong
Paco Rabanne,1 Million Prive,Parfum,Amber Spicy,Male,Strong
Paco Rabanne,1 Million Royal,Parfum,Amber Woody,Male,Medium
Paco Rabanne,Phantom Legion,Parfum,Woody Aromatic,Unisex,Strong
Paco Rabanne,Phantom Pour Homme,Parfum,Woody Aromatic,Unisex,Strong
Paco Rabanne,Pure XS,Parfum,Amber Spicy,Male,Strong
Paco Rabanne,Pure XS for Her,Parfum,Floriental,Female,Strong
Jean Paul Gaultier,Le Male,EDT,Amber Spicy,Male,Medium
Jean Paul Gaultier,Ultra Male,EDP,Amber Spicy,Male,Strong
Jean Paul Gaultier,Le Male Le Parfum,EDP,Amber Woody,Male,Strong
Jean Paul Gaultier,Le Beau,EDT,Woody Aromatic,Male,Medium
Jean Paul Gaultier,Le Beau Le Parfum,EDP,Woody Amber,Male,Strong
Jean Paul Gaultier,Le Beau Paradise Garden,EDP,Woody Watery,Male,Medium
Jean Paul Gaultier,Le Male In The Navy,EDT,Aromatic Fougere,Male,Medium
Jean Paul Gaultier,Le Male Le Parfum Pride Edition,EDP,Amber Woody,Male,Strong
Jean Paul Gaultier,Le Male Elixir,EDP,Amber Fougere,Male,Strong
Jean Paul Gaultier,Le Male Aviator,EDT,Aromatic Fougere,Male,Medium
Jean Paul Gaultier,Le Male Capitaine Collector,EDT,Aromatic Fougere,Male,Medium
Jean Paul Gaultier,Le Male On Board,EDT,Aromatic Fougere,Male,Medium
Jean Paul Gaultier,Le Male Pride 2023,EDP,Amber Woody,Male,Strong
Jean Paul Gaultier,Le Male Pride 2024,EDP,Amber Woody,Male,Strong
Jean Paul Gaultier,Classique,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Classique Intense,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Classique Essence de Parfum,Parfum,Oriental Floral,Female,Strong
Jean Paul Gaultier,Classique X,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Classique Collector,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Scandal,EDP,Floriental,Female,Strong
Jean Paul Gaultier,Scandal by Night,EDP,Floriental,Female,Strong
Jean Paul Gaultier,Scandal A Paris,EDP,Floriental,Female,Strong
Jean Paul Gaultier,Scandal Le Parfum,Parfum,Floriental,Female,Strong
Jean Paul Gaultier,Scandal Parfum Intense,Parfum,Floriental,Female,Strong
Jean Paul Gaultier,Scandal Absolu,Parfum,Floriental,Female,Strong
Jean Paul Gaultier,Scandal Eau de Parfum,EDP,Floriental,Female,Strong
Jean Paul Gaultier,Scandal Eau de Toilette,EDT,Floriental,Female,Medium
Jean Paul Gaultier,Le Classique,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Essence de Parfum,Parfum,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Collector,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Intense,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique X,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
